"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Year","Deaths","Population","Crude Rate"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","12","","42","363003","11.57"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","12","2020","4","40316","9.92"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","12","","4","40316","9.92"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","12","2020","3","138699","2.16"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","12","","3","138699","2.16"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","12","2020","97","1531619","6.33"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","12","","97","1531619","6.33"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","12","2020","18","352791","5.1"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","12","","18","352791","5.1"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","12","2020","1","39106","2.56"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","12","","1","39106","2.56"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","12","2020","5","133532","3.74"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","12","","5","133532","3.74"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","13","2020","195","1615118","12.07"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","13","","195","1615118","12.07"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","13","2020","75","362644","20.68"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","13","","75","362644","20.68"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","13","2020","9","40768","22.08"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","13","","9","40768","22.08"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","13","2020","8","137022","5.84"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","13","","8","137022","5.84"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","13","2020","122","1543832","7.9"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","13","","122","1543832","7.9"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","13","2020","32","350022","9.14"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","13","","32","350022","9.14"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","13","2020","5","39206","12.75"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","13","","5","39206","12.75"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","13","2020","5","131309","3.81"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","13","","5","131309","3.81"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","14","2020","302","1611537","18.74"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","14","","302","1611537","18.74"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","14","2020","120","351891","34.1"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","14","","120","351891","34.1"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","14","2020","9","39900","22.56"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","14","","9","39900","22.56"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","14","2020","10","135165","7.4"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","14","","10","135165","7.4"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","14","2020","134","1536222","8.72"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","14","","134","1536222","8.72"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","14","2020","32","342089","9.35"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","14","","32","342089","9.35"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","14","2020","6","38547","15.57"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","14","","6","38547","15.57"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","14","2020","5","131007","3.82"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","14","","5","131007","3.82"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","15","2020","439","1609331","27.28"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","15","","439","1609331","27.28"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","15","2020","194","346675","55.96"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","15","","194","346675","55.96"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","15","2020","15","39432","38.04"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","15","","15","39432","38.04"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","15","2020","22","135946","16.18"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","15","","22","135946","16.18"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","15","2020","187","1535883","12.18"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","15","","187","1535883","12.18"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","15","2020","49","335427","14.61"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","15","","49","335427","14.61"
